epoch,train_reward,time_s
1,0.013392487540841103,0.06172920000972226
2,0.01388838142156601,0.06251879999763332
3,0.010968377813696861,0.06052030000137165
4,0.011394115164875984,0.06013980001443997
5,0.01610678993165493,0.06091179998475127
6,0.009668275713920593,0.06807949999347329
7,0.016903860494494438,0.059822200011694804
8,0.015584317967295647,0.06136359999072738
9,0.01596449315547943,0.06245749999652617
10,0.015437990427017212,0.06425570001010783
11,0.015246214345097542,0.06002289999742061
12,0.019862845540046692,0.060734900005627424
13,0.01850111410021782,0.05958139998256229
14,0.01776333525776863,0.08980459999293089
15,0.01944422349333763,0.10211429998162203
16,0.02613428607583046,0.10483869997551665
17,0.03336656838655472,0.09372949998942204
18,0.030628878623247147,0.07647349999751896
19,0.03900708258152008,0.0975722000002861
20,0.04518866166472435,0.07665400000405498
21,0.04805149510502815,0.06350580000435002
22,0.04804285988211632,0.06351659999927506
23,0.05905137583613396,0.06398099998477846
24,0.05949857831001282,0.0628015999973286
25,0.056067708879709244,0.06175339999026619
26,0.06839965283870697,0.06173539999872446
27,0.06340710073709488,0.06287580000935122
28,0.09269628673791885,0.09012389997951686
29,0.09246218204498291,0.09392310000839643
30,0.09520462155342102,0.08959129999857396
31,0.10072074830532074,0.07679960000677966
32,0.10413990169763565,0.09482070000376552
33,0.11186647415161133,0.08962380001321435
34,0.135903462767601,0.08410099998582155
35,0.12917250394821167,0.08661100000608712
36,0.13055282831192017,0.0894187000230886
37,0.14499694108963013,0.08939579999423586
38,0.14977732300758362,0.0894898000115063
39,0.1611834466457367,0.10697880000225268
40,0.14491111040115356,0.11062639998272061
41,0.18637092411518097,0.10579120001057163
42,0.20011316239833832,0.10772909998195246
43,0.192435160279274,0.09703850001096725
44,0.18509405851364136,0.07516239999677055
45,0.21565896272659302,0.0896327999944333
46,0.22823426127433777,0.0792041000095196
47,0.2340375781059265,0.06596760000684299
48,0.23324300348758698,0.06244999999762513
49,0.2357521951198578,0.06391419999999925
50,0.23738425970077515,0.07349459998658858
51,0.25784075260162354,0.09853670001029968
52,0.21823689341545105,0.09370080000371672
53,0.2648332118988037,0.09659749999991618
54,0.2766949534416199,0.09493699998711236
55,0.2451535165309906,0.09449759998824447
56,0.2388259470462799,0.09177319999434985
57,0.2209591120481491,0.08101630001328886
58,0.27044248580932617,0.09018239998840727
59,0.2703239619731903,0.06921099999453872
60,0.2606152594089508,0.0876379000255838
