epoch,train_reward,time_s
1,0.011200034990906715,0.029407199996057898
2,0.0025059066247195005,0.029717600002186373
3,0.010443110018968582,0.028973900014534593
4,0.0031103987712413073,0.02794129998073913
5,0.01095092948526144,0.02736509998794645
6,0.00878882221877575,0.02776689999154769
7,0.003938784822821617,0.028179199987789616
8,0.010633554309606552,0.029311599995708093
9,0.01109631359577179,0.02806300000520423
10,0.013167941942811012,0.030766000010771677
11,0.0090360501781106,0.028745299990987405
12,0.013144072145223618,0.027793799992650747
13,0.017863702028989792,0.02810170000884682
14,0.016070039942860603,0.03863409999758005
15,0.02712058089673519,0.046543899981770664
16,0.02175651118159294,0.031280499999411404
17,0.023606615141034126,0.029664000001503155
18,0.03043048083782196,0.029742599988821894
19,0.03339127078652382,0.03256410002359189
20,0.03413897380232811,0.03483840002445504
21,0.04145485535264015,0.032890900009078905
22,0.03997797146439552,0.03501600000890903
23,0.041426271200180054,0.03597379999700934
24,0.049564771354198456,0.03473129999474622
25,0.048666227608919144,0.03447819998837076
26,0.05255799740552902,0.0357551000197418
27,0.05839448422193527,0.0346445000031963
28,0.06473758071660995,0.04168919997755438
29,0.06519036740064621,0.04158749998896383
30,0.06802324205636978,0.033141099993372336
31,0.0737949088215828,0.03523129998939112
32,0.08193504065275192,0.036609500006306916
33,0.07900872826576233,0.03575389998150058
34,0.07235351204872131,0.03483250000863336
35,0.08643466234207153,0.03383259999100119
36,0.08789116889238358,0.035325200005900115
37,0.09374988824129105,0.03429569999570958
38,0.09547866135835648,0.03616129999863915
39,0.09864276647567749,0.03672800000640564
40,0.10585644096136093,0.03511990001425147
41,0.09129030257463455,0.03427209999063052
42,0.09469009190797806,0.03912279999349266
43,0.10355576872825623,0.037030700012110174
44,0.11432227492332458,0.037365099997259676
45,0.1156395673751831,0.0352773999911733
46,0.09855279326438904,0.03431710001314059
47,0.11301816254854202,0.034505999996326864
48,0.10204224288463593,0.03425859997514635
49,0.08627818524837494,0.03411269999924116
50,0.11488679051399231,0.03421649997471832
51,0.08972955495119095,0.03484890001709573
52,0.08139713108539581,0.03412290001870133
53,0.10867663472890854,0.032763499999418855
54,0.12937353551387787,0.03145870001753792
55,0.09433667361736298,0.032160600007046014
56,0.09171579033136368,0.03265139998984523
57,0.10605143755674362,0.03226649999851361
58,0.11916124820709229,0.03097310001612641
59,0.09021303802728653,0.0321406000002753
60,0.1217767670750618,0.031058499997016042
