epoch,train_reward,time_s
1,0.00408926559612155,0.03291979999630712
2,0.005678150802850723,0.05127860000357032
3,0.005618509836494923,0.051319199992576614
4,0.0035186908207833767,0.04964739998104051
5,0.0009525614441372454,0.04448400001274422
6,-0.0007174068596214056,0.04604820001986809
7,-0.0003708326257765293,0.042407200002344325
8,-0.0009533332195132971,0.04487530002370477
9,0.0029831097926944494,0.04431749999639578
10,0.004484246950596571,0.047026999993249774
11,-0.0012826763559132814,0.04380529999616556
12,0.004741945303976536,0.0441382999997586
13,0.0020416744519025087,0.04304530000081286
14,-0.004250241443514824,0.04142969998065382
15,-0.002251066267490387,0.04238569998415187
16,-0.001344738993793726,0.05408130001160316
17,0.003130123019218445,0.054963900009170175
18,0.0005482973647303879,0.04785579998861067
19,-0.00565108098089695,0.043074000015622005
20,0.0006998708704486489,0.0431743000226561
21,-0.001266398699954152,0.044025100010912865
22,-0.0009425195166841149,0.04374480000115
23,0.003513159230351448,0.04604650000692345
24,0.000494196661747992,0.04222310002660379
25,-0.0011841387022286654,0.04332220001379028
26,-0.0021912320517003536,0.04383809998398647
27,-0.005317125469446182,0.03825949999736622
28,0.007138560060411692,0.0385128999769222
29,0.001253009308129549,0.041100499976892024
30,0.0047568222507834435,0.044280000001890585
31,-0.001404420705512166,0.05411450000246987
32,-0.0013865730725228786,0.05148130000452511
33,-0.0053246053867042065,0.05171799997333437
34,0.00200049695558846,0.05289960000663996
35,-0.0041060191579163074,0.05132020000019111
36,0.00028000137535855174,0.05153500000596978
37,0.006499869283288717,0.05374770000344142
38,0.002456576330587268,0.05322200001683086
39,0.001154270488768816,0.05234380002366379
40,0.0016879317117854953,0.06323209998663515
41,0.0020684609189629555,0.06034579998231493
42,0.008757036179304123,0.05704300000797957
43,0.01634081080555916,0.05785260000266135
44,0.022219218313694,0.0531734999967739
45,0.028889253735542297,0.05186199999297969
46,0.021630557253956795,0.05199639999773353
47,0.029050059616565704,0.05149419998633675
48,0.023478209972381592,0.054203600011533126
49,0.03162689134478569,0.05174379999516532
50,0.03313245251774788,0.04699229999096133
51,0.03675629943609238,0.04272169998148456
52,0.03777839615941048,0.0446345999953337
53,0.03885021060705185,0.044909599993843585
54,0.04621601104736328,0.0422394999768585
55,0.04556260257959366,0.05485460002091713
56,0.04567679390311241,0.04058450000593439
57,0.05601948872208595,0.04592699999921024
58,0.04528343677520752,0.04440119999344461
59,0.05192558839917183,0.04267910000635311
60,0.05753333494067192,0.04464070001267828
