epoch,train_reward,time_s
1,0.011084027588367462,0.050335100007941946
2,0.002537704072892666,0.05702959999325685
3,0.00982650276273489,0.06202160002430901
4,0.0025605536065995693,0.06195000000298023
5,0.009946427308022976,0.05789379999623634
6,0.007996292784810066,0.05565159997786395
7,0.0028588492423295975,0.053667600004700944
8,0.009498676285147667,0.05868369998643175
9,0.008658453822135925,0.06272879999596626
10,0.010216353461146355,0.05852309998590499
11,0.0056510367430746555,0.06302109998068772
12,0.010112637653946877,0.0663907999987714
13,0.013061494566500187,0.06335320000653155
14,0.012134214863181114,0.06033949999255128
15,0.020497752353549004,0.06035189999965951
16,0.015982219949364662,0.06111169999348931
17,0.01712780073285103,0.05135339999105781
18,0.02364121936261654,0.050197700009448454
19,0.025588909164071083,0.05833100000745617
20,0.022449277341365814,0.06844010000349954
21,0.031069282442331314,0.07230419997358695
22,0.027104798704385757,0.07287010000436567
23,0.028402116149663925,0.07257089999620803
24,0.03284135460853577,0.07947490000515245
25,0.0348220020532608,0.0639497000083793
26,0.04080948978662491,0.06514659998356365
27,0.0381912961602211,0.07192740001482889
28,0.04782898724079132,0.0705673000193201
29,0.05184439197182655,0.05730820001917891
30,0.054113369435071945,0.05585380000411533
31,0.06692367047071457,0.05799169998499565
32,0.07549506425857544,0.0552521999925375
33,0.07779724150896072,0.05220710000139661
34,0.0623108334839344,0.05178839998552576
35,0.07620269805192947,0.05818900000303984
36,0.08880786597728729,0.05584810001892038
37,0.09359245747327805,0.05295569999725558
38,0.0986388698220253,0.054483700019773096
39,0.10279211401939392,0.0723852000082843
40,0.1121128648519516,0.05481359999976121
41,0.09844761341810226,0.0676998000126332
42,0.10558947920799255,0.058798299985937774
43,0.11534985899925232,0.057876799983205274
44,0.13361507654190063,0.05259129998739809
45,0.11833664774894714,0.05334539999603294
46,0.13335111737251282,0.05550200000288896
47,0.14255815744400024,0.06960750001599081
48,0.14283940196037292,0.06327509999391623
49,0.134942889213562,0.0626046999823302
50,0.13606557250022888,0.05932170001324266
51,0.13807830214500427,0.057522699993569404
52,0.15173746645450592,0.059219099988695234
53,0.1705974042415619,0.057291400007670745
54,0.1686907857656479,0.05401920000440441
55,0.14834193885326385,0.05835839998326264
56,0.1882820427417755,0.05461520000244491
57,0.16497525572776794,0.051646599982632324
58,0.19368170201778412,0.06208960001822561
59,0.1517309844493866,0.05322709999745712
60,0.16615569591522217,0.05174689998966642
