dataset,device,input_shape,kind,meta_classes,meta_features,meta_regimes,meta_test_shift,meta_test_size,meta_train_shift,meta_train_size,meta_window,metrics_test_accuracy,metrics_test_macro_f1,metrics_test_mae,metrics_test_mase,metrics_test_mse,metrics_test_nrmse,metrics_test_r2,metrics_test_rmse,metrics_test_smape,metrics_train_accuracy,metrics_train_macro_f1,metrics_train_mae,metrics_train_mase,metrics_train_mse,metrics_train_nrmse,metrics_train_r2,metrics_train_rmse,metrics_train_smape,model,n_params,preds_path,run_id,seed,status,task,test_size,train_size,train_time_s
classification_clusters,cpu,[4],tabular,3,4,,,300,,900,,0.9966666666666667,0.9966898540750027,,,,,,,,1.0,1.0,,,,,,,,wrn_base,52169,reports\ablations\20251222_092648_regressor_ablations\preds\classification_clusters__wrn_base__seed0.npz,classification_clusters:wrn_base:seed0,0,ok,classification,300,900,6.981225199997425
classification_clusters,cpu,[4],tabular,3,4,,,300,,900,,0.9966666666666667,0.9966645820304357,,,,,,,,1.0,1.0,,,,,,,,wrn_base,52169,reports\ablations\20251222_092648_regressor_ablations\preds\classification_clusters__wrn_base__seed1.npz,classification_clusters:wrn_base:seed1,1,ok,classification,300,900,6.823286900063977
classification_clusters,cpu,[4],tabular,3,4,,,300,,900,,0.9966666666666667,0.9966898540750027,,,,,,,,1.0,1.0,,,,,,,,wrn_no_film,52169,reports\ablations\20251222_092648_regressor_ablations\preds\classification_clusters__wrn_no_film__seed0.npz,classification_clusters:wrn_no_film:seed0,0,ok,classification,300,900,8.337238800013438
classification_clusters,cpu,[4],tabular,3,4,,,300,,900,,0.9966666666666667,0.9966645820304357,,,,,,,,1.0,1.0,,,,,,,,wrn_no_film,52169,reports\ablations\20251222_092648_regressor_ablations\preds\classification_clusters__wrn_no_film__seed1.npz,classification_clusters:wrn_no_film:seed1,1,ok,classification,300,900,7.439306299900636
classification_clusters,cpu,[4],tabular,3,4,,,300,,900,,0.9966666666666667,0.9966898540750027,,,,,,,,1.0,1.0,,,,,,,,wrn_no_phase,52169,reports\ablations\20251222_092648_regressor_ablations\preds\classification_clusters__wrn_no_phase__seed0.npz,classification_clusters:wrn_no_phase:seed0,0,ok,classification,300,900,7.043907099869102
classification_clusters,cpu,[4],tabular,3,4,,,300,,900,,0.9966666666666667,0.9966645820304357,,,,,,,,1.0,1.0,,,,,,,,wrn_no_phase,52169,reports\ablations\20251222_092648_regressor_ablations\preds\classification_clusters__wrn_no_phase__seed1.npz,classification_clusters:wrn_no_phase:seed1,1,ok,classification,300,900,6.8742369001265615
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,0.5731809139251709,0.388620025862255,0.6234617829322815,0.10188822085985981,0.6502523720264435,0.789595961826225,0.5995341539382935,,,0.056684814393520355,0.051533022177961886,0.005961982533335686,0.00844377523163224,0.9940812238492072,0.07721387526433113,0.13984324038028717,res_base,35781,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__res_base__seed0.npz,tabular_shifted:res_base:seed0,0,ok,regression,256,1024,3.627458999864757
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,0.5854535102844238,0.37661206803670005,0.6651767492294312,0.0963696340802882,0.6751450002193451,0.8155836862207527,0.605167031288147,,,0.060419101268053055,0.05171258039403343,0.006048130337148905,0.006613480514904754,0.9950200919993222,0.07776972635382552,0.14598646759986877,res_base,35781,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__res_base__seed1.npz,tabular_shifted:res_base:seed1,1,ok,regression,256,1024,4.196706600021571
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,0.5647246837615967,0.3828866521489523,0.6033978462219238,0.10023535619976497,0.6615077555179596,0.7767868731009323,0.6068024635314941,,,0.08673246204853058,0.07884979316095428,0.013312604278326035,0.01261748583276332,0.986783872358501,0.11538025948283369,0.19315466284751892,res_drop_path,35781,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__res_drop_path__seed0.npz,tabular_shifted:res_drop_path:seed0,0,ok,regression,256,1024,3.6335084000602365
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,0.6012220978736877,0.38675572637624167,0.7139880657196045,0.09984289291975468,0.6513068377971649,0.8449781451135908,0.6222940683364868,,,0.08691740036010742,0.07439241828211464,0.012314308434724808,0.009436795006615463,0.9898606473580003,0.11096985372039024,0.20183095335960388,res_drop_path,35781,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__res_drop_path__seed1.npz,tabular_shifted:res_drop_path:seed1,1,ok,regression,256,1024,3.805804700125009
tabular_shifted,cpu,[8],tabular,,8,,0.6,256,0.0,1024,,,,0.35005661845207214,0.23734044314995767,0.29946067929267883,0.07061369914722955,0.8320094794034958,0.5472300058409433,0.420458048582077,,,0.2541307806968689,0.23103413670613573,0.15891338884830475,0.04359348196312605,0.842238262295723,0.39863942209508674,0.4200090169906616,res_no_norm,35461,reports\ablations\20251222_092648_regressor_ablations\preds\tabular_shifted__res_no_norm__seed0.npz,tabular_shifted:res_no_norm:seed0,0,ok,regression,256,1024,3.069942499976605
