dataset,device,epoch_time_s_mean,grad_nonfinite_steps,grad_norm_max,history_length,input_shape,kind,loss_curve_mean_abs_diff,loss_curve_volatility,loss_nonfinite_steps,meta_classes,meta_context_dim,meta_drift,meta_features,meta_regimes,meta_shock_prob,meta_test_shift,meta_test_size,meta_train_shift,meta_train_size,meta_window,metrics_test_accuracy,metrics_test_macro_f1,metrics_test_mae,metrics_test_mase,metrics_test_mse,metrics_test_nrmse,metrics_test_r2,metrics_test_rmse,metrics_test_smape,metrics_train_accuracy,metrics_train_macro_f1,metrics_train_mae,metrics_train_mase,metrics_train_mse,metrics_train_nrmse,metrics_train_r2,metrics_train_rmse,metrics_train_smape,metrics_val_accuracy,metrics_val_macro_f1,metrics_val_mae,metrics_val_mase,metrics_val_mse,metrics_val_nrmse,metrics_val_r2,metrics_val_rmse,metrics_val_smape,model,n_params,run_id,seed,status,step_time_s_mean,task,test_size,train_size,train_time_s,train_time_s_total,val_curve_volatility,val_size
tabular_sine,cuda,0.0781396684818901,0,23.397411308509,25,[8],tabular,0.0675601843557309,0.36631125467753783,0,,,,8,,,,256,,1024,,,,0.3301834464073181,0.31663137527154445,0.17086541652679443,0.10770606435036435,0.7680843472480774,0.4133587020092772,0.7032339572906494,,,0.10223036259412766,0.10142492233203994,0.019424548372626305,0.03377177268243721,0.9737300276756287,0.13937197843406796,0.2978014647960663,,,0.3324897587299347,0.357805706056354,0.17332786321640015,0.11897428490767095,0.7521874904632568,0.4163266304434538,0.7216542363166809,res_base,35781,tabular_sine:res_base:seed0,0,ok,0.009299932795402128,regression,256,922,2.378864476981107,1.978795151982922,0.22976280694454887,102
tabular_sine,cuda,0.07240650691790507,0,23.433704929677056,25,[8],tabular,0.06670586029720842,0.35852888703100255,0,,,,8,,,,256,,1024,,,,0.3397985100746155,0.32585179763198036,0.18233025074005127,0.11126086615936148,0.7525231242179871,0.4270014645642931,0.717181384563446,,,0.12748469412326813,0.12648028307706574,0.027312124148011208,0.04004572228876047,0.9630627632141113,0.1652638016869127,0.35181117057800293,,,0.3315158188343048,0.3567576098583133,0.1709868162870407,0.11816809237013987,0.7555345296859741,0.4135055214710448,0.6896165013313293,res_drop_path,35781,tabular_sine:res_drop_path:seed0,0,ok,0.008562427681172267,regression,256,922,1.8585703290300444,1.855721416999586,0.22740506089334725,102
tabular_sine,cuda,0.0659965072083287,0,2.6828423521606766,25,[8],tabular,0.017629186382391967,0.1132269839910543,0,,,,8,,,,256,,1024,,,,0.5426579713821411,0.5203850818397222,0.4329562187194824,0.17144904207374648,0.4123484492301941,0.6579940871462923,1.0730184316635132,,,0.47685062885284424,0.4730936755785536,0.32316750288009644,0.1377501985665677,0.5629444122314453,0.5684782343063773,1.016634225845337,,,0.562184751033783,0.6049897974185275,0.43499842286109924,0.18847890621612157,0.3780685067176819,0.6595441022866472,1.1438981294631958,res_no_norm,35461,tabular_sine:res_no_norm:seed0,0,ok,0.007739946858491748,regression,256,922,1.6973271280294284,1.6934876440209337,0.08647675594970951,102
tabular_sine,cuda,0.08508598232641816,0,45.241148833982024,25,[8],tabular,0.10026950342225033,0.6368978497902081,0,,,,8,,,,256,,1024,,,,0.7051873207092285,0.6762435658411914,0.7512136697769165,0.22583685283772784,-0.019622445106506348,0.8667258331080923,1.1743688583374023,,,0.03750217333436012,0.037206705730090654,0.0028304236475378275,0.012891519632483894,0.9961721301078796,0.0532017259826956,0.13591107726097107,,,0.6733019351959229,0.7245675031680215,0.6939263343811035,0.23805406190784528,0.007870733737945557,0.8330224092910727,1.146526575088501,wrn_base,52295,tabular_sine:wrn_base:seed0,0,ok,0.010112470305757596,regression,256,922,2.178529697994236,2.1668369410326704,0.4724547958217338,102
tabular_sine,cuda,0.0847967893956229,0,45.241148833982024,25,[8],tabular,0.10026950342225033,0.6368978497902081,0,,,,8,,,,256,,1024,,,,0.7051873207092285,0.6762435658411914,0.7512136697769165,0.22583685283772784,-0.019622445106506348,0.8667258331080923,1.1743688583374023,,,0.03750217333436012,0.037206705730090654,0.0028304236475378275,0.012891519632483894,0.9961721301078796,0.0532017259826956,0.13591107726097107,,,0.6733019351959229,0.7245675031680215,0.6939263343811035,0.23805406190784528,0.007870733737945557,0.8330224092910727,1.146526575088501,wrn_no_phase,52295,tabular_sine:wrn_no_phase:seed0,0,ok,0.010072101898840629,regression,256,922,2.152030917000957,2.1483751320047304,0.4724547958217338,102
tabular_sine,cuda,0.09994723172159865,0,45.241148833982024,25,[8],tabular,0.10026950342225033,0.6368978497902081,0,,,,8,,,,256,,1024,,,,0.7051873207092285,0.6762435658411914,0.7512136697769165,0.22583685283772784,-0.019622445106506348,0.8667258331080923,1.1743688583374023,,,0.03750217333436012,0.037206705730090654,0.0028304236475378275,0.012891519632483894,0.9961721301078796,0.0532017259826956,0.13591107726097107,,,0.6733019351959229,0.7245675031680215,0.6939263343811035,0.23805406190784528,0.007870733737945557,0.8330224092910727,1.146526575088501,wrn_no_film,52295,tabular_sine:wrn_no_film:seed0,0,ok,0.011816476318053902,regression,256,922,2.5758600349654444,2.56791428104043,0.4724547958217338,102
tabular_sine,cuda,0.060928227880503984,0,45.241148833982024,25,[8],tabular,0.10026950342225033,0.6368978497902081,0,,,,8,,,,256,,1024,,,,0.7051873207092285,0.6762435658411914,0.7512136697769165,0.22583685283772784,-0.019622445106506348,0.8667258331080923,1.1743688583374023,,,0.03750217333436012,0.037206705730090654,0.0028304236475378275,0.012891519632483894,0.9961721301078796,0.0532017259826956,0.13591107726097107,,,0.6733019351959229,0.7245675031680215,0.6939263343811035,0.23805406190784528,0.007870733737945557,0.8330224092910727,1.146526575088501,wrn_spec_gate_rfft,52295,tabular_sine:wrn_spec_gate_rfft:seed0,0,ok,0.007172042616584804,regression,256,922,1.553129042033106,1.5501500479876995,0.4724547958217338,102
tabular_sine,cuda,0.06503642345312982,0,45.241148833982024,25,[8],tabular,0.10026950342225033,0.6368978497902081,0,,,,8,,,,256,,1024,,,,0.7051873207092285,0.6762435658411914,0.7512136697769165,0.22583685283772784,-0.019622445106506348,0.8667258331080923,1.1743688583374023,,,0.03750217333436012,0.037206705730090654,0.0028304236475378275,0.012891519632483894,0.9961721301078796,0.0532017259826956,0.13591107726097107,,,0.6733019351959229,0.7245675031680215,0.6939263343811035,0.23805406190784528,0.007870733737945557,0.8330224092910727,1.146526575088501,wrn_spec_gate_feats,52295,tabular_sine:wrn_spec_gate_feats:seed0,0,ok,0.007676655545947142,regression,256,922,1.6572026690118946,1.6532882089959458,0.4724547958217338,102
tabular_sine,cuda,0.04766182739753276,0,1.7395047296030937,25,[8],tabular,0.00721068872072865,0.02902231427698658,0,,,,8,,,,256,,1024,,,,0.6864315867424011,0.6582576434554344,0.7071464657783508,0.21911280549859355,0.04018998146057129,0.8409200115221132,1.3577401638031006,,,0.6468841433525085,0.6417875505131502,0.6349360942840576,0.19308271654001272,0.14130491018295288,0.7968287735041059,1.2839549779891968,,,0.6588821411132812,0.7090497782833954,0.6457901000976562,0.22964902353517924,0.07669270038604736,0.8036106644997043,1.3197665214538574,sgr_base,16257,tabular_sine:sgr_base:seed0,0,ok,0.005494883104402107,regression,256,922,1.2143454590113834,1.2118768710060976,0.025385651511260942,102
tabular_sine,cuda,0.02856593508971855,0,1.2291111044527612,25,[8],tabular,0.006450706278058128,0.03375788304113683,0,,,,8,,,,256,,1024,,,,0.684836208820343,0.6567277463299559,0.6983381509780884,0.2177438794561753,0.05214548110961914,0.8356662916368521,1.341188907623291,,,0.6457108855247498,0.6406235364077877,0.6333907842636108,0.1928476106563385,0.14339476823806763,0.7958585202557116,1.26237952709198,,,0.6505236029624939,0.7000548165857311,0.6268280744552612,0.2262523669837117,0.10380339622497559,0.7917247466482662,1.2951529026031494,sgr_no_gate,9729,tabular_sine:sgr_no_gate:seed0,0,ok,0.003162217554054223,regression,256,922,0.726586886041332,0.7241146820015274,0.03189247129663339,102
