dataset,epoch_time_s_mean_mean,epoch_time_s_mean_std,grad_norm_max_mean,grad_norm_max_std,loss_curve_mean_abs_diff_mean,loss_curve_mean_abs_diff_std,loss_curve_volatility_mean,loss_curve_volatility_std,metrics_test_accuracy_mean,metrics_test_accuracy_std,metrics_test_macro_f1_mean,metrics_test_macro_f1_std,metrics_test_mae_mean,metrics_test_mae_std,metrics_test_mase_mean,metrics_test_mase_std,metrics_test_mse_mean,metrics_test_mse_std,metrics_test_nrmse_mean,metrics_test_nrmse_std,metrics_test_r2_mean,metrics_test_r2_std,metrics_test_rmse_mean,metrics_test_rmse_std,metrics_test_smape_mean,metrics_test_smape_std,metrics_train_accuracy_mean,metrics_train_accuracy_std,metrics_train_macro_f1_mean,metrics_train_macro_f1_std,metrics_train_mae_mean,metrics_train_mae_std,metrics_train_mase_mean,metrics_train_mase_std,metrics_train_mse_mean,metrics_train_mse_std,metrics_train_nrmse_mean,metrics_train_nrmse_std,metrics_train_r2_mean,metrics_train_r2_std,metrics_train_rmse_mean,metrics_train_rmse_std,metrics_train_smape_mean,metrics_train_smape_std,metrics_val_accuracy_mean,metrics_val_accuracy_std,metrics_val_macro_f1_mean,metrics_val_macro_f1_std,metrics_val_mae_mean,metrics_val_mae_std,metrics_val_mase_mean,metrics_val_mase_std,metrics_val_mse_mean,metrics_val_mse_std,metrics_val_nrmse_mean,metrics_val_nrmse_std,metrics_val_r2_mean,metrics_val_r2_std,metrics_val_rmse_mean,metrics_val_rmse_std,metrics_val_smape_mean,metrics_val_smape_std,model,n_params_mean,n_params_std,n_runs,step_time_s_mean_mean,step_time_s_mean_std,train_time_s_mean,train_time_s_std,train_time_s_total_mean,train_time_s_total_std,val_curve_volatility_mean,val_curve_volatility_std
classification_clusters,0.09914561377326027,0.039082378861700746,12.42089118849044,2.448510473824665,0.055710670155237896,0.017696679357613838,0.26357595652921945,0.08306416799320065,0.9973333333333333,0.0013333333333333196,0.997386576467312,0.0013078765755033578,0.03021138496696949,0.005272153496548364,0.06972306762789852,0.012150234101257252,0.003957437025383115,0.0011312634778769483,0.062312151015388936,0.008639031266205556,0.98219153881073,0.005090675441962172,0.062312151015388936,0.008639031266205556,1.3467139720916748,0.0026357618722393085,0.9975302530280971,0.0011055962867642193,0.9975013575842675,0.0011091796506135824,0.027413630858063698,0.003714674709331504,16.632473193857937,2.249656335092621,0.002857062453404069,0.0004416692487942429,0.0532782697787891,0.0042998165987210004,0.9871432304382324,0.001987513015748748,0.0532782697787891,0.0042998165987210004,1.3449616193771363,0.0018643257766833288,0.9956043956043956,0.008791208791208803,0.9955357142857142,0.008928571428571397,0.02908223681151867,0.00691963495725931,1.9430634592468965,0.4679821327659678,0.0035845737322233616,0.0024295058729630003,0.05595847047756388,0.021289042111729037,0.9838694095611572,0.010932778685624292,0.05595847047756388,0.021289042111729037,1.3456866502761842,0.004200811444764889,res_base,35655.0,0.0,5,0.013584269960211323,0.005492427735233852,2.539975007181056,0.9896059064962164,2.5311468540108764,0.9871227994133871,0.12127336807131786,0.04748017516943809
classification_clusters,0.08936795001057908,0.04138048600441913,12.411137597600003,2.4259978977159675,0.05572075624178877,0.0177472671913707,0.2634260334312958,0.08303702075592986,0.9973333333333333,0.0013333333333333196,0.997386576467312,0.0013078765755033578,0.030482087656855582,0.0050338332178765065,0.07035920868820496,0.011662373090859308,0.004050082480534911,0.0011118301088681266,0.06308873495821136,0.00836026326783254,0.9817746162414551,0.005003239485025511,0.06308873495821136,0.00836026326783254,1.3467657566070557,0.002446366100690004,0.9975302530280971,0.0011055962867642193,0.9975013575842675,0.0011091796506135824,0.027853072807192802,0.0036359826316002264,16.899178647032727,2.2020658175477292,0.0029393839184194805,0.0004312107438052552,0.05406102119156471,0.004097548797106866,0.9867727637290955,0.001940438820215041,0.05406102119156471,0.004097548797106866,1.345120620727539,0.0018099578766504058,0.9956043956043956,0.008791208791208803,0.9955357142857142,0.008928571428571397,0.029123042523860932,0.006732062119761367,1.9455487807345473,0.45481542645365974,0.003661404177546501,0.0024657809778393033,0.056670933484747256,0.021208712254963846,0.983523678779602,0.011096026260909372,0.056670933484747256,0.021208712254963846,1.3456107378005981,0.0040328051524806206,res_drop_path,35655.0,0.0,5,0.0122826776465268,0.005791065758065853,2.2772804985754194,1.0574059082201233,2.273095233400818,1.0550965511664587,0.12126085645832921,0.047488436904195346
classification_clusters,0.10568175390129908,0.040864533252742315,2.8527729980674823,0.4065532325520463,0.01973345264546103,0.005914938657688078,0.09922627442252295,0.030970444407940917,0.9973333333333333,0.0013333333333333196,0.997386576467312,0.0013078765755033578,0.028275835141539574,0.003678892180618498,0.06526158108341668,0.008626089280713784,0.00386799406260252,0.0010705198211837376,0.06160845410213962,0.008508375035638489,0.9825940132141113,0.004817323470511988,0.06160845410213962,0.008508375035638489,1.3459358930587768,0.0019318885109824756,0.9970361206592223,0.001483465517419654,0.9970056617273624,0.001498678666396044,0.025603584200143813,0.002940423971529982,15.534215104756612,1.7786800832129737,0.0030291553121060133,0.0006677882095903572,0.05468166515720173,0.006250664584000951,0.9863688111305237,0.00300504633676412,0.05468166515720173,0.006250664584000951,1.3443627834320069,0.0015835441806804043,0.9933821733821734,0.008803545813725309,0.9932361801396146,0.008963217169941013,0.02566128149628639,0.005620895842189619,1.71488988724286,0.382330339925876,0.0032388672465458513,0.00213525224380077,0.05330326394894044,0.01994064439619337,0.9854251027107239,0.00960864231080598,0.05330326394894044,0.01994064439619337,1.3446149110794068,0.0033349472556410717,res_no_norm,35335.0,0.0,5,0.014523071822510766,0.005644165273216204,2.691113093192689,1.0529115166943086,2.686226996209007,1.0499147208777226,0.06224756079032277,0.021573905137845135
classification_clusters,0.08168937185592949,0.023291672582194778,0.7424596186941638,0.04609228882253341,0.013191026167696318,0.00011344299944369133,0.07915296656236506,0.0014892181037146092,0.994,0.005333333333333368,0.9940996906417512,0.00531272559069623,0.048760499060153964,0.00897299285719518,0.11241379165725955,0.01978018161472358,0.007982332725077868,0.002881317655577273,0.08807214742409548,0.015020971113288857,0.9640794992446899,0.012965934009975448,0.08807214742409548,0.015020971113288857,1.353274393081665,0.0026969070770130454,0.993826242610669,0.0017485330886748951,0.9937879646416894,0.0017768795649858269,0.04432576298713684,0.006179184246439331,26.895226500274106,3.752527548117196,0.006663613207638264,0.0012973198018045565,0.08125543702308366,0.007820943793810884,0.9700137495994567,0.005837938222014843,0.08125543702308366,0.007820943793810884,1.351645040512085,0.0009643524690614218,0.9911599511599511,0.008236682740534407,0.9909736933214763,0.008379053758972752,0.04416891857981682,0.0067613767218069575,2.9486287139672838,0.4535428721656701,0.006194397807121277,0.002286889294215689,0.07721482173840935,0.015240377653685064,0.9721252083778381,0.010291004864467828,0.07721482173840935,0.015240377653685064,1.3506850719451904,0.0026758294813933573,sgr_base,16131.0,0.0,5,0.01105484769726172,0.0031993461039635978,2.0969558357959612,0.6016344963473832,2.094312269007787,0.6004897799958943,0.0663023123892618,0.0017250915469501065
classification_clusters,0.08642114820796996,0.03300325068638129,0.6177742263859926,0.04160177162226092,0.013261717975337489,0.00010539496073647357,0.08485152649165544,0.0015606507019204883,0.994,0.005333333333333368,0.9940996906417512,0.00531272559069623,0.051418109238147734,0.01061615512630358,0.11857519526352164,0.02387772396685081,0.008422136586159468,0.003022526761812827,0.09043553381579938,0.015606114494353576,0.962100374698639,0.013601361032273855,0.09043553381579938,0.015606114494353576,1.3538283348083495,0.0024042761828215534,0.9943194608597441,0.0025439105582398284,0.994284762804823,0.00257151295387792,0.046877825260162355,0.00810482666989212,28.443499966105605,4.919243424316303,0.007071802113205195,0.0016307416988299234,0.08355165778131995,0.009535334037064018,0.9681769013404846,0.007338328731784829,0.08355165778131995,0.009535334037064018,1.352185320854187,0.0011256479748329611,0.9911599511599511,0.008236682740534407,0.9909736933214763,0.008379053758972752,0.04678640216588974,0.008815080837111662,3.1235442188191693,0.5908440214167606,0.006638319650664926,0.002457907657562587,0.0799114593211093,0.015889566382869563,0.9701275587081909,0.011060569471445238,0.0799114593211093,0.015889566382869563,1.3510985136032105,0.002715584227448477,sgr_fourier_feats,16131.0,0.0,5,0.011716495723330549,0.004581665631916635,2.225353260198608,0.8586924531290863,2.2210247849929146,0.8573714387540406,0.07391620342650988,0.001815431546733707
classification_clusters,0.049080930879339575,0.016954825251222255,0.45963702259718564,0.014271635996636679,0.013438372271685978,0.00020105834870585485,0.09171663772574161,0.0006088666971317348,0.9946666666666667,0.0040000000000000036,0.9947345433608668,0.004043242094357302,0.05961610600352287,0.004595839232330452,0.13749991028707648,0.009676843325620299,0.009858079999685288,0.001860206214539586,0.09884529998832911,0.009364116076945749,0.9556386470794678,0.008370925547058565,0.09884529998832911,0.009364116076945749,1.356288766860962,0.00048200036024898885,0.9943203757322155,0.0021530325995388322,0.9942902610916657,0.002170863581687671,0.05606599152088165,0.0036678090798667098,34.01885702816021,2.2363429354955775,0.008605925925076007,0.001161642883917325,0.0925550639122626,0.006283794178121399,0.9612733364105225,0.0052274057909006775,0.0925550639122626,0.006283794178121399,1.354878544807434,0.0008373136977031957,0.9911599511599511,0.008236682740534407,0.9909736933214763,0.008379053758972752,0.056208650767803195,0.0042037728992831815,3.751467922234704,0.27592426373516465,0.008115160651504994,0.0014864092831694802,0.08968753777747045,0.008444300972833897,0.9634817719459534,0.006688830502316091,0.08968753777747045,0.008444300972833897,1.3541823863983153,0.0023637193538208674,sgr_no_gate,9603.0,0.0,5,0.006379752937172139,0.002262118383346372,1.2607561304001138,0.43792845136877534,1.2569386635906994,0.436488960840132,0.08284167855147143,0.0010405989940354622
classification_clusters,0.08312890860904008,0.030067357488215225,0.7506586978671118,0.07054228455863078,0.013130178864515424,0.0001268967911863617,0.0791771873054519,0.0012710147563435804,0.9926666666666666,0.005333333333333368,0.9927980831368757,0.005299984024956784,0.05898299366235733,0.009726719107390336,0.1359887949455433,0.021563167528760887,0.010330440849065781,0.003090287593735022,0.1006050361911864,0.014459168096258376,0.9535130143165589,0.013906287406186124,0.1006050361911864,0.014459168096258376,1.3561392545700073,0.0023865253242332115,0.9925913687483817,0.002212557924705049,0.9925343112211402,0.0022614325133895998,0.054727011173963544,0.007016469592357207,33.20654950087354,4.26281939950533,0.008778130076825619,0.0015129573765811355,0.09334808238099887,0.008016582352590581,0.9604984164237976,0.00680830915715784,0.09334808238099887,0.008016582352590581,1.3548479557037354,0.0007768236363210998,0.9911599511599511,0.008236682740534407,0.9909736933214763,0.008379053758972752,0.05462863743305206,0.0071302817430190825,3.646085630421377,0.4742449944552575,0.008071359060704709,0.0022122810260881694,0.08896917177366595,0.01248381090102822,0.9636788964271545,0.009955264411878467,0.08896917177366595,0.01248381090102822,1.3539800882339477,0.001768916690262206,sgr_no_phase,16131.0,0.0,5,0.011170834819653204,0.004146547419519521,2.144067571614869,0.7772723434367187,2.1385446003987454,0.7758243502379787,0.06653346393071,0.0015214474208577159
classification_clusters,0.14147900543129072,0.058032259924484526,46.85493191409419,9.505898408806171,0.10444015539773792,0.0375564358973318,0.5015869640658097,0.17949274356135778,0.9879999999999999,0.008055363982396377,0.9880485114781962,0.00824155789625927,0.08884863406419755,0.010081834509998132,0.20494997710543128,0.022230938510034874,0.02612755224108696,0.010686712534981435,0.15840748877186672,0.03216550546902504,0.8824260115623475,0.048090219478375384,0.15840748877186672,0.03216550546902504,1.3660588026046754,0.0043801130805374506,0.9995055624227442,0.000988875154511737,0.9995000561734637,0.000999887653072662,0.05668116062879562,0.0029082563000619004,34.3901471713269,1.7424339152641675,0.006188010796904564,0.0007695744861567462,0.07851244401061945,0.004879234815410116,0.9721539378166199,0.0034630908026314906,0.07851244401061945,0.004879234815410116,1.3530522108078002,0.001153870571253565,0.9911599511599511,0.010827079874906269,0.9910042242703533,0.011018042589877645,0.08545099943876266,0.011226770187404086,5.703975890029496,0.7510319853623983,0.018043197132647036,0.005181691719783917,0.1331388234739836,0.017811536054211263,0.9188056111335754,0.023317621003894482,0.1331388234739836,0.017811536054211263,1.3667006731033324,0.004453319447141391,wrn_base,52169.0,0.0,5,0.019568768015197878,0.008074471973736508,3.611226649582386,1.4954077243372565,3.6043194363825024,1.491446692614857,0.2027174621367241,0.0864182105460045
classification_clusters,0.15661929319472984,0.04049738537119668,46.85493191409419,9.505898408806171,0.10444015539773792,0.0375564358973318,0.5015869640658097,0.17949274356135778,0.9879999999999999,0.008055363982396377,0.9880485114781962,0.00824155789625927,0.08884863406419755,0.010081834509998132,0.20494997710543128,0.022230938510034874,0.02612755224108696,0.010686712534981435,0.15840748877186672,0.03216550546902504,0.8824260115623475,0.048090219478375384,0.15840748877186672,0.03216550546902504,1.3660588026046754,0.0043801130805374506,0.9995055624227442,0.000988875154511737,0.9995000561734637,0.000999887653072662,0.05668116062879562,0.0029082563000619004,34.3901471713269,1.7424339152641675,0.006188010796904564,0.0007695744861567462,0.07851244401061945,0.004879234815410116,0.9721539378166199,0.0034630908026314906,0.07851244401061945,0.004879234815410116,1.3530522108078002,0.001153870571253565,0.9911599511599511,0.010827079874906269,0.9910042242703533,0.011018042589877645,0.08545099943876266,0.011226770187404086,5.703975890029496,0.7510319853623983,0.018043197132647036,0.005181691719783917,0.1331388234739836,0.017811536054211263,0.9188056111335754,0.023317621003894482,0.1331388234739836,0.017811536054211263,1.3667006731033324,0.004453319447141391,wrn_no_film,52169.0,0.0,5,0.021616720436273943,0.005630568000794976,4.012312565196771,1.0446962439502543,4.005735946400091,1.0425810640674138,0.2027174621367241,0.0864182105460045
classification_clusters,0.1294385876711458,0.06397356645746352,46.85493191409419,9.505898408806171,0.10444015539773792,0.0375564358973318,0.5015869640658097,0.17949274356135778,0.9879999999999999,0.008055363982396377,0.9880485114781962,0.00824155789625927,0.08884863406419755,0.010081834509998132,0.20494997710543128,0.022230938510034874,0.02612755224108696,0.010686712534981435,0.15840748877186672,0.03216550546902504,0.8824260115623475,0.048090219478375384,0.15840748877186672,0.03216550546902504,1.3660588026046754,0.0043801130805374506,0.9995055624227442,0.000988875154511737,0.9995000561734637,0.000999887653072662,0.05668116062879562,0.0029082563000619004,34.3901471713269,1.7424339152641675,0.006188010796904564,0.0007695744861567462,0.07851244401061945,0.004879234815410116,0.9721539378166199,0.0034630908026314906,0.07851244401061945,0.004879234815410116,1.3530522108078002,0.001153870571253565,0.9911599511599511,0.010827079874906269,0.9910042242703533,0.011018042589877645,0.08545099943876266,0.011226770187404086,5.703975890029496,0.7510319853623983,0.018043197132647036,0.005181691719783917,0.1331388234739836,0.017811536054211263,0.9188056111335754,0.023317621003894482,0.1331388234739836,0.017811536054211263,1.3667006731033324,0.004453319447141391,wrn_no_phase,52169.0,0.0,5,0.017853250906337055,0.0089122403496153,3.3107626045821235,1.646230408361553,3.302716262207832,1.6418832540142725,0.2027174621367241,0.0864182105460045
