task,model,seed,params_total,params_trainable,param_target,param_mismatch,param_mismatch_ratio,train_size,val_size,test_size,input_shape,scale_y,y_scaler,y_scaler_mean,y_scaler_std,epochs,val_loss,steps,train_mse,train_rmse,train_mae,train_smape,train_r2,val_mse,val_rmse,val_mae,val_smape,val_r2,test_mse,test_rmse,test_mae,test_smape,test_r2,history_length,loss_curve_volatility,loss_curve_mean_abs_diff,val_curve_volatility,epoch_time_s_mean,step_time_s_mean,grad_norm_max,loss_nonfinite_steps,grad_nonfinite_steps,train_time_s_total
jena_light,psann_conv,0,19380,19380,19380,0,0.0,12022,2575,2575,"[72, 14]",True,standard,0.3639759925920424,0.9217806100967025,20,0.11400803923606873,940,0.06795751303434372,0.2606866184412689,0.1727529615163803,0.465526282787323,0.9198105335235596,0.0966484397649765,0.3108833217864485,0.232014000415802,0.35213756561279297,0.7642700672149658,0.0642896294593811,0.2535539971275963,0.18768638372421265,0.3268834352493286,0.7254548072814941,20,0.08726407395256913,0.021968642305268484,0.038389344573757506,0.2617458230903139,0.005199751958307968,2.7079506850572055,0,0,5.243594579980709
jena_light,mlp,0,19188,19188,19380,192,0.009907120743034056,12022,2575,2575,"[72, 14]",True,standard,0.3639759925920424,0.9217806100967025,20,0.10459069907665253,940,0.026843491941690445,0.16383983624775278,0.11635308712720871,0.368256539106369,0.968337893486023,0.08866791427135468,0.2977715806979482,0.20804764330387115,0.3307972252368927,0.7837374210357666,0.06232250854372978,0.2496447647032274,0.18070381879806519,0.3066021502017975,0.7337199449539185,20,0.1300410880384248,0.031466319069821745,0.15951533631229947,0.038762358791427684,0.0007754874974860751,0.8090584187655246,0,0,0.7757620379561558
jena_light,psann_conv,1,19380,19380,19380,0,0.0,12022,2575,2575,"[72, 14]",True,standard,0.3639759925920424,0.9217806100967025,20,0.10799682885408401,940,0.0663454532623291,0.2575761115909802,0.1728472262620926,0.46730563044548035,0.9217128753662109,0.09155331552028656,0.3025777842477642,0.2279970645904541,0.3445516526699066,0.7766958475112915,0.05939725041389465,0.24371551122957819,0.17818588018417358,0.3014887273311615,0.7463065385818481,20,0.08883108163491776,0.02228263916608746,0.03208751779253269,0.22358535724924877,0.004505455755304168,2.183085428926736,0,0,4.480096094019245
jena_light,mlp,1,19188,19188,19380,192,0.009907120743034056,12022,2575,2575,"[72, 14]",True,standard,0.3639759925920424,0.9217806100967025,20,0.09377539902925491,940,0.028510859236121178,0.16885158937990835,0.11988324671983719,0.3693569302558899,0.9663702845573425,0.07949358969926834,0.2819460758713771,0.20477694272994995,0.32987409830093384,0.8061280250549316,0.06397415697574615,0.25293113089484687,0.18229632079601288,0.3135610818862915,0.7266933917999268,20,0.14469675396522408,0.034795688651340674,0.13549787836325716,0.03834534019988496,0.0007622802786112941,0.9520553545813142,0,0,0.7674634599825367
jena_light,psann_conv,2,19380,19380,19380,0,0.0,12022,2575,2575,"[72, 14]",True,standard,0.3639759925920424,0.9217806100967025,20,0.11261714994907379,940,0.07087896019220352,0.26623102785401165,0.1735353171825409,0.4675726294517517,0.9163632988929749,0.09546969830989838,0.30898171193437707,0.23140427470207214,0.36152002215385437,0.7671449780464172,0.05171601474285126,0.2274115536705452,0.16130000352859497,0.2640674114227295,0.7791137099266052,20,0.08768584638787805,0.021723256935163877,0.03769374502101536,0.2232851387030678,0.004505993749827464,2.330668553262797,0,0,4.475334379996639
jena_light,mlp,2,19188,19188,19380,192,0.009907120743034056,12022,2575,2575,"[72, 14]",True,standard,0.3639759925920424,0.9217806100967025,20,0.1102956160902977,940,0.026217570528388023,0.16191840700917245,0.1162508875131607,0.3734273314476013,0.969075620174408,0.09349412471055984,0.3057680897519554,0.22280079126358032,0.3688803017139435,0.7719911932945251,0.05675957351922989,0.23824267778723,0.17860931158065796,0.3242804706096649,0.7574312686920166,20,0.11155310960703622,0.02710475258510985,0.05871986915794058,0.12360920450300909,0.002437031866197395,1.1652854834343853,0,0,2.4733309369767085
jena_light,psann_conv,3,19380,19380,19380,0,0.0,12022,2575,2575,"[72, 14]",True,standard,0.3639759925920424,0.9217806100967025,20,0.0982639342546463,940,0.06934869289398193,0.2633413998861211,0.1782599538564682,0.46586868166923523,0.9181706309318542,0.08329353481531143,0.2886061933072668,0.21340258419513702,0.3361673653125763,0.7968684434890747,0.06009138748049736,0.24513544721336683,0.17425698041915894,0.2967293858528137,0.7434214353561401,20,0.08441534030244612,0.021028103766985343,0.043655717802857076,0.27346575394331013,0.005518907294398114,2.136241921932308,0,0,5.478810650005471
jena_light,mlp,3,19188,19188,19380,192,0.009907120743034056,12022,2575,2575,"[72, 14]",True,standard,0.3639759925920424,0.9217806100967025,20,0.17340576648712158,940,0.02603451907634735,0.1613521585735603,0.11658433079719543,0.36194437742233276,0.9692919254302979,0.146997332572937,0.38340231164266214,0.26740944385528564,0.4234867990016937,0.6414997577667236,0.08372911810874939,0.2893598419075276,0.20541006326675415,0.35790714621543884,0.6422618627548218,20,0.1250078459189526,0.030230130500015277,0.07227817128393674,0.07085528250026982,0.0013929130097707497,0.9117957455420462,0,0,1.4179371329955757
jena_light,psann_conv,4,19380,19380,19380,0,0.0,12022,2575,2575,"[72, 14]",True,standard,0.3639759925920424,0.9217806100967025,20,0.09813236445188522,940,0.06733426451683044,0.2594884670208494,0.17402127385139465,0.47443345189094543,0.9205465316772461,0.08318872004747391,0.28842454827471586,0.21724933385849,0.3354897201061249,0.7971022725105286,0.05246101692318916,0.22904370090266435,0.1637973189353943,0.2940080463886261,0.7759748101234436,20,0.08222717885250877,0.020705867651059813,0.03514265606246265,0.20752566119481344,0.004163885947955931,2.5559722814799093,0,0,4.159709132974967
jena_light,mlp,4,19188,19188,19380,192,0.009907120743034056,12022,2575,2575,"[72, 14]",True,standard,0.3639759925920424,0.9217806100967025,20,0.11083561927080154,940,0.02313932776451111,0.15211616536223593,0.11005671322345734,0.3587656617164612,0.9727077484130859,0.0939527377486229,0.3065171084109709,0.232742041349411,0.37324172258377075,0.7708690166473389,0.06829705089330673,0.26133704462495694,0.1933775097131729,0.3507656753063202,0.7082468271255493,20,0.13234361471285394,0.03175832519230933,0.14148993333063328,0.03669986165186856,0.0007263678089502525,0.9496585867301067,0,0,0.7346948650083505
