task,model,train_mse_mean,train_mse_std,train_rmse_mean,train_rmse_std,train_mae_mean,train_mae_std,train_smape_mean,train_smape_std,train_r2_mean,train_r2_std,val_mse_mean,val_mse_std,val_rmse_mean,val_rmse_std,val_mae_mean,val_mae_std,val_smape_mean,val_smape_std,val_r2_mean,val_r2_std,test_mse_mean,test_mse_std,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_smape_mean,test_smape_std,test_r2_mean,test_r2_std,loss_curve_volatility_mean,loss_curve_volatility_std,loss_curve_mean_abs_diff_mean,loss_curve_mean_abs_diff_std,val_curve_volatility_mean,val_curve_volatility_std,epoch_time_s_mean_mean,epoch_time_s_mean_std,step_time_s_mean_mean,step_time_s_mean_std,grad_norm_max_mean,grad_norm_max_std,loss_nonfinite_steps_mean,loss_nonfinite_steps_std,grad_nonfinite_steps_mean,grad_nonfinite_steps_std,n_runs
beijing_light,mlp,0.09751554429531098,0.004008679044266878,0.31222192724930065,0.006423826745348078,0.21328033804893493,0.003953851380091904,0.47237772941589357,0.005835723897000488,0.9024844646453858,0.004008667064838517,0.7492823600769043,0.10288035198323264,0.8639509684037978,0.059907055834896396,0.5161545276641846,0.044524067900689024,0.7281627655029297,0.0344579408740057,0.20517209470272063,0.10910291084095,0.3814699172973633,0.0716469526724648,0.6154449414400849,0.05806721701155623,0.4465423822402954,0.03455462986190089,0.7421751022338867,0.010064972989797761,0.02431901656091213,0.18325241950310633,0.16779816794572927,0.0072262170778290375,0.03874043908055454,0.0015292391707346835,0.08163586056230597,0.011716331199089014,0.019303120502736422,0.0013385196602918314,0.0021622733421099837,0.0001662956955320905,1.275093952464439,0.1409049064998254,0.0,0.0,0.0,0.0,5
beijing_light,psann_conv,0.201747065782547,0.004611274909072975,0.4491392594531547,0.005122426234065235,0.2888273954391479,0.006317581464753699,0.553049910068512,0.010606717832617905,0.7982529759407043,0.004611357882907477,0.2910546243190765,0.007233446577184418,0.5394616099632707,0.0066891418463501506,0.314942067861557,0.010411953056536938,0.53211430311203,0.027676539787059484,0.6913331508636474,0.007679331548060477,0.1791157215833664,0.012517043916926849,0.4230130040132069,0.014820594585280285,0.31138136982917786,0.023182432170664728,0.6901548624038696,0.05493365421119805,0.5418806552886963,0.0320136183070166,0.1788743333839527,0.0025020559828007856,0.04072187214558568,0.00024087202082532478,0.12260460817651755,0.0022818507664451354,0.06845908538030926,0.0036464661257169795,0.008226079032974667,0.00040062542884053025,1.337647017870868,0.12640146153407303,0.0,0.0,0.0,0.0,5
eaf_temp_lite,mlp,0.7074868440628052,0.044548575627138,0.8407829807866453,0.02671196553814744,0.38887102603912355,0.01727742677415481,0.9049663424491883,0.12688552633899325,0.2925132155418396,0.044548575627138,1.4592890739440918,0.0210243961610605,1.207985385342083,0.008687832298023635,0.7138619899749756,0.05371502938680394,0.8007493853569031,0.20811280087418318,0.14123053550720216,0.012372542595640667,2.57899751663208,0.037604005693645026,1.605891630809623,0.011703991183009658,0.811851692199707,0.050290707425600226,1.805987286567688,0.3121804077531184,-0.034080219268798825,0.01507779204135443,0.0825320354910279,0.013890262239147876,0.014459579241903203,0.002346795005861648,0.09023475180642865,0.017851476735491166,0.0009541851107496769,2.5535918637838255e-05,0.0007493348896969109,3.513778833520459e-05,0.6450190687722319,0.0541587547354371,0.0,0.0,0.0,0.0,5
eaf_temp_lite,psann_conv,0.6375732302665711,0.023520637865695037,0.7983731748638563,0.014726843024614723,0.3710143268108368,0.02153805388133233,0.8669820189476013,0.1884944819007902,0.36242682933807374,0.023520637865695037,1.4027428388595582,0.028858686775399885,1.1843244884348183,0.012162696718051523,0.6900739431381225,0.019362046767456967,0.726229476928711,0.07057971928528929,0.17450714111328125,0.016982892429019222,2.72279839515686,0.036151094812176196,1.650061388412173,0.010943584202190238,0.7995474696159363,0.041492002330687394,1.6712885618209838,0.2814765883587832,-0.09173893928527832,0.014495214609441774,0.10959688140084393,0.007852279255880593,0.01818455269462184,0.0011467404504146193,0.12420892189750368,0.02820461069356233,0.002384082085918635,0.0004325762979594773,0.0020198690093820915,0.0004142110740321861,0.6766140622566512,0.018224297751422928,0.0,0.0,0.0,0.0,5
jena_light,mlp,0.02614915370941162,0.001945291286318545,0.16161563131452597,0.006076740925327101,0.11582565307617188,0.003562981058408922,0.36635016798973086,0.005909670860166586,0.9691566944122314,0.002295068616264707,0.10052113980054855,0.026623373940555816,0.31508103327498277,0.03945063800050906,0.22715537250041962,0.025181654737425632,0.3652560293674469,0.038428568170330406,0.7548450827598572,0.06492808645529685,0.06701648160815239,0.010215739845187944,0.2583030919835577,0.019235198201671976,0.1880794048309326,0.011246639871695021,0.33062330484390257,0.02268529235292441,0.7136706590652466,0.043632529524555944,0.12872848244849833,0.012027202276335823,0.031071043199719373,0.0027811948286289687,0.11350023768961344,0.04495791391334541,0.06165440952929202,0.03746044862057203,0.0012188160922031533,0.0007351581313532921,0.9575707178106754,0.12979762706013798,0.0,0.0,0.0,0.0,5
jena_light,psann_conv,0.06837297677993774,0.001774426646951442,0.26146472495864626,0.003386440283914013,0.17428334653377534,0.0022828795158887755,0.46814133524894713,0.003626844851563029,0.9193207740783691,0.002093679972342396,0.09003074169158935,0.0064787657895332175,0.29989471191011446,0.010834173938214406,0.22441345155239106,0.00854467693995652,0.34597326517105104,0.011042889385081547,0.7804163217544555,0.015809532648609122,0.05759105980396271,0.005366989213390712,0.2397720420287502,0.01120422159980166,0.1730453133583069,0.010790414839790785,0.2966354012489319,0.022394665229340714,0.7540542602539062,0.02291014726718739,0.08608470422606397,0.0027002053608520637,0.021541701964912997,0.0006570065271096734,0.03739379625052506,0.004287101890450976,0.2379215468361508,0.028172004884026054,0.00477879894115873,0.0005595129525001625,2.382783774131791,0.2444923767973446,0.0,0.0,0.0,0.0,5
