task,model,seed,params_total,params_trainable,param_target,param_mismatch,param_mismatch_ratio,train_size,val_size,test_size,input_shape,epochs,val_loss,steps,train_mse,train_rmse,train_mae,train_smape,train_r2,val_mse,val_rmse,val_mae,val_smape,val_r2,test_mse,test_rmse,test_mae,test_smape,test_r2,history_length,loss_curve_volatility,loss_curve_mean_abs_diff,val_curve_volatility,epoch_time_s_mean,step_time_s_mean,grad_norm_max,loss_nonfinite_steps,grad_nonfinite_steps,train_time_s_total
jena_light,psann_conv,0,19380,19380,19380,0,0.0,12022,2575,2575,"[72, 14]",20,0.09382843971252441,940,0.07055988907814026,0.2656311146649433,0.1763167828321457,0.47026610374450684,0.9167413711547852,0.09382843971252441,0.3063142825800397,0.2288471907377243,0.34281671047210693,0.7711470127105713,0.0640777051448822,0.2531357445025933,0.18638181686401367,0.32192087173461914,0.7263558506965637,20,0.08105591384906444,0.020580608693862745,0.020170443924497464,0.3008577198925195,0.00595443834416925,2.3572088658381163,0,0,6.026470394048374
jena_light,mlp,0,19188,19188,19380,192,0.009907120743034056,12022,2575,2575,"[72, 14]",20,0.08721281588077545,940,0.028262270614504814,0.16811386205338574,0.11912591010332108,0.3701957166194916,0.9666638970375061,0.08721281588077545,0.2953181604317206,0.2263149917125702,0.3885831832885742,0.7872841358184814,0.08756657689809799,0.29591650325403956,0.2243843674659729,0.42887982726097107,0.6256601214408875,20,0.10373835185966722,0.025204500572353412,0.15412831651417103,0.051353504552389496,0.0010339166882987866,1.3142770253627487,0,0,1.0276612680172548
jena_light,psann_conv,1,19380,19380,19380,0,0.0,12022,2575,2575,"[72, 14]",20,0.09379862993955612,940,0.06930350512266159,0.2632555889675689,0.1763688325881958,0.4745924174785614,0.9182232618331909,0.09379862993955612,0.30626561991114204,0.22917678952217102,0.3459120988845825,0.7712163925170898,0.062290798872709274,0.24958124703733106,0.18280504643917084,0.3106728196144104,0.7339749336242676,20,0.08224708514546099,0.0206115567930193,0.015936996657680277,0.27979246210306885,0.005626809519425807,1.8739133990048327,0,0,5.6061131689930335
jena_light,mlp,1,19188,19188,19380,192,0.009907120743034056,12022,2575,2575,"[72, 14]",20,0.05768425017595291,940,0.028845595195889473,0.16983991049187902,0.12108858674764633,0.37179094552993774,0.9659745693206787,0.05768425017595291,0.24017545706410742,0.17537766695022583,0.3136232793331146,0.859326183795929,0.05755537375807762,0.2399070106480376,0.17433856427669525,0.3158037066459656,0.7541336417198181,20,0.13413310223555394,0.03240211897036336,0.09416700531621526,0.10484240470686927,0.0020374631050335086,1.1042370500202552,0,0,2.097992877010256
jena_light,psann_conv,2,19380,19380,19380,0,0.0,12022,2575,2575,"[72, 14]",20,0.0998467355966568,940,0.07185961306095123,0.26806643404378555,0.175102099776268,0.4693619906902313,0.915207028388977,0.0998467206954956,0.31598531721504974,0.23554584383964539,0.36016473174095154,0.7564709186553955,0.05837414413690567,0.2416074173880133,0.176141619682312,0.2949695289134979,0.7506908774375916,20,0.08055155789684088,0.019984266916168506,0.018370917524044475,0.2567922522081062,0.005185754313889119,2.0322095040733417,0,0,5.145590664003976
jena_light,mlp,2,19188,19188,19380,192,0.009907120743034056,12022,2575,2575,"[72, 14]",20,0.08538120985031128,940,0.023801419883966446,0.15427708800715176,0.11219102889299393,0.35812148451805115,0.971924901008606,0.08538120985031128,0.2922006328711683,0.21311600506305695,0.3583002984523773,0.791753351688385,0.07570027559995651,0.2751368306860361,0.20263487100601196,0.3816291093826294,0.6765082478523254,20,0.10978594615593278,0.026693793931094664,0.04728205748831882,0.07229627615306526,0.0014826912525174347,1.361339954717511,0,0,1.4464462810428813
jena_light,psann_conv,3,19380,19380,19380,0,0.0,12022,2575,2575,"[72, 14]",20,0.07963152229785919,940,0.07165320962667465,0.26768117159537885,0.18251365423202515,0.4691382050514221,0.915452241897583,0.07963152974843979,0.2821905911763179,0.20900243520736694,0.3307754397392273,0.8057962656021118,0.051608856767416,0.22717582786779056,0.1545444279909134,0.2635035514831543,0.7796518206596375,20,0.0788110182664253,0.01966174242626107,0.0187315813074703,0.21172134990629274,0.004274056581136315,1.9702488799042253,0,0,4.243327966949437
jena_light,mlp,3,19188,19188,19380,192,0.009907120743034056,12022,2575,2575,"[72, 14]",20,0.13658656179904938,940,0.025906693190336227,0.16095556278158338,0.11710967123508453,0.3624007999897003,0.9694434404373169,0.13658656179904938,0.3695761921431755,0.27414262294769287,0.4338914155960083,0.6668171286582947,0.09794957935810089,0.3129689750727712,0.23583589494228363,0.4285302758216858,0.581260621547699,20,0.11747859202262752,0.028535901159137452,0.04754260210578073,0.05663370090478566,0.001151096044502102,1.2818696867022843,0,0,1.1331927119754255
jena_light,psann_conv,4,19380,19380,19380,0,0.0,12022,2575,2575,"[72, 14]",20,0.08445149660110474,940,0.0678674504160881,0.26051382000978013,0.1755688488483429,0.4781584143638611,0.9199169874191284,0.08445149660110474,0.29060539671710284,0.21908240020275116,0.33169370889663696,0.7940296530723572,0.05545372888445854,0.2354861543370619,0.16818755865097046,0.30538856983184814,0.7631915211677551,20,0.07937053209484779,0.019950417226108366,0.01601252026841111,0.22406231124477927,0.0045238187178682065,1.8351779481141643,0,0,4.490453121019527
jena_light,mlp,4,19188,19188,19380,192,0.009907120743034056,12022,2575,2575,"[72, 14]",20,0.11359980702400208,940,0.024876510724425316,0.15772289220156127,0.11335546523332596,0.3559146821498871,0.970658540725708,0.11359981447458267,0.33704571570423897,0.24713537096977234,0.3996666371822357,0.72297203540802,0.07846710085868835,0.2801197973344411,0.2089199423789978,0.3683900237083435,0.6647536158561707,20,0.12204903788732475,0.029135770449341833,0.09891078822328324,0.11424087994964793,0.0022508708413373282,1.3103356391685448,0,0,2.2860041270032525
