dataset,kind,model,metric,test_mse_mean,test_rmse_mean,test_r2_mean,test_accuracy_mean,test_macro_f1_mean
classification_clusters,classification,res_base,0.9973333333333333,,,,0.9973333333333333,0.997386576467312
context_rotating_moons,classification,wrn_base,0.9960000000000001,,,,0.9960000000000001,0.99599360403934
tabular_shifted,regression,res_base,0.9014098405838012,0.9014098405838012,0.9418626972812021,0.556841778755188,,
tabular_sine,regression,res_base,0.16952501237392426,0.16952501237392426,0.40861003843101207,0.7623835325241088,,
ts_drift,regression,res_no_norm,0.00045983371092006564,0.00045983371092006564,0.021431847402827685,0.999846088886261,,
ts_periodic,regression,res_no_norm,0.0028346591163426636,0.0028346591163426636,0.05298082538369003,0.9961771965026855,,
ts_regime_switch,regression,sgr_no_gate,0.00251785097643733,0.00251785097643733,0.050137713627986025,0.07249166965484619,,
ts_shock,regression,res_no_norm,31.38662395477295,31.38662395477295,5.274744936729737,0.9259921908378601,,
