model,avg_test_mse,datasets
res_no_norm,5.49880321289529,6
res_base,1419.0529064663763,6
res_drop_path,1419.2217259752642,6
sgr_fourier_feats,1649.962630606233,6
sgr_no_phase,1668.1033125324254,6
sgr_base,1682.678026369649,6
wrn_spec_gate_feats,1813.1591173431061,6
wrn_spec_gate_rfft,1843.8901771155188,6
wrn_base,1850.829571403563,6
wrn_no_film,1850.829571403563,6
wrn_no_phase,1850.829571403563,6
sgr_no_gate,1938.1989968120276,6
