model,mse_test,mse_train,mse_val,train_epoch_time_s_mean,train_samples_per_sec,train_step_time_ms_mean,train_train_time_s
dense_respsann,0.2013640178160535,0.1966203441498456,0.20014365452031294,0.36063224168912567,13549.362868886117,10.663783619760327,3.6069345633177026
dense_resrelu,0.15258973098739428,0.1391888598187102,0.15178162280332158,0.22344204486348815,21689.923453633837,6.280019141846071,2.2350231152996893
geo_sparse,0.1131255376946043,0.10842703658811471,0.11378390328199775,0.3452208628568635,12133.8431516491,6.4733149508226395,3.453018767842743
